url_num,code,content-length,ms,isp,source
19,200,17905,309.597015380859,twcny,origin
19,200,17905,310.664892196655,twcny,origin
19,200,17905,300.245046615601,twcny,origin
19,200,17905,298.287868499756,twcny,origin
19,200,17905,550.440788269043,twcny,origin
20,200,18626,336.081981658936,twcny,origin
20,200,18626,507.309913635254,twcny,origin
20,200,18626,292.263031005859,twcny,origin
20,200,18626,283.246994018555,twcny,origin
20,200,18626,292.460203170776,twcny,origin
20,200,18626,508.854150772095,twcny,origin
20,200,18626,742.247819900513,twcny,origin
20,200,18626,308.367013931274,twcny,origin
20,200,18626,289.336919784546,twcny,origin
20,200,18626,493.32594871521,twcny,origin
21,200,19795,493.592977523804,twcny,origin
21,200,19795,330.0461769104,twcny,origin
21,200,19795,520.732879638672,twcny,origin
21,200,19795,356.545209884644,twcny,origin
21,200,19795,305.675983428955,twcny,origin
21,200,19795,342.622995376587,twcny,origin
21,200,19795,326.839923858643,twcny,origin
21,200,19795,289.343118667603,twcny,origin
21,200,19795,307.092905044556,twcny,origin
21,200,19795,280.216932296753,twcny,origin
22,200,18851,277.105808258057,twcny,origin
22,200,18851,283.85591506958,twcny,origin
22,200,18851,285.772085189819,twcny,origin
22,200,18851,323.229074478149,twcny,origin
22,200,18851,284.037828445435,twcny,origin
22,200,18851,1311.33604049683,twcny,origin
22,200,18851,276.968955993652,twcny,origin
22,200,18851,488.856077194214,twcny,origin
22,200,18852,508.918046951294,twcny,origin
22,200,18851,304.02398109436,twcny,origin
23,200,18224,310.183048248291,twcny,origin
23,200,18224,303.770065307617,twcny,origin
23,200,18224,290.438175201416,twcny,origin
23,200,18224,301.684141159058,twcny,origin
23,200,18224,339.696168899536,twcny,origin
23,200,18224,520.885944366455,twcny,origin
23,200,18224,319.716930389404,twcny,origin
23,200,18224,310.92381477356,twcny,origin
23,200,18224,312.679052352905,twcny,origin
23,200,18224,310.894966125488,twcny,origin
24,200,18054,284.979104995728,twcny,origin
24,200,18054,300.335168838501,twcny,origin
24,200,18054,313.637971878052,twcny,origin
24,200,18054,307.395935058594,twcny,origin
24,200,18054,287.621974945068,twcny,origin
24,200,18054,310.294151306152,twcny,origin
24,200,18054,496.381044387817,twcny,origin
24,200,18054,275.219917297363,twcny,origin
24,200,18054,284.21688079834,twcny,origin
24,200,18054,287.588119506836,twcny,origin
25,200,19241,291.815042495728,twcny,origin
25,200,19241,301.033020019531,twcny,origin
25,200,19241,728.056192398071,twcny,origin
25,200,19241,400.184154510498,twcny,origin
25,200,19241,487.622022628784,twcny,origin
25,200,19241,294.941902160645,twcny,origin
25,200,19241,283.968925476074,twcny,origin
25,200,19241,502.97212600708,twcny,origin
25,200,19241,297.621965408325,twcny,origin
25,200,19241,331.820964813232,twcny,origin
26,200,19447,356.115818023682,twcny,origin
26,200,19447,310.847997665405,twcny,origin
26,200,19447,347.330093383789,twcny,origin
26,200,19447,331.008911132812,twcny,origin
26,200,19447,271.475076675415,twcny,origin
26,200,19447,271.224021911621,twcny,origin
26,200,19447,287.309885025024,twcny,origin
26,200,19447,365.77582359314,twcny,origin
26,200,19447,286.957025527954,twcny,origin
26,200,19447,293.785810470581,twcny,origin
27,200,23623,331.422090530396,twcny,origin
27,200,23623,278.621912002563,twcny,origin
27,200,23623,278.353929519653,twcny,origin
27,200,23623,300.069093704224,twcny,origin
27,200,23623,486.114025115967,twcny,origin
27,200,23623,310.388803482056,twcny,origin
27,200,23623,287.923097610474,twcny,origin
27,200,23623,287.606000900269,twcny,origin
27,200,23623,317.825078964233,twcny,origin
27,200,23623,316.873073577881,twcny,origin
28,200,18131,490.869045257568,twcny,origin
28,200,18131,312.4680519104,twcny,origin
