isp,cdn,content_length,stdev
twcny,akamai,138000,51.363331
twcny,akamai,139000,39.537187
twcny,akamai,140000,37.482490
twcny,akamai,141000,37.230663
twcny,akamai,142000,30.268817
twcny,akamai,143000,51.617732
twcny,akamai,144000,48.263690
twcny,akamai,145000,44.928882
twcny,akamai,146000,67.272661
twcny,akamai,147000,35.946335
twcny,akamai,148000,17.579579
twcny,akamai,149000,114.155245
twcny,akamai,150000,30.980021
twcny,akamai,151000,40.547574
twcny,akamai,152000,35.444641
twcny,akamai,153000,42.660794
twcny,akamai,154000,22.276675
twcny,akamai,155000,213.838594
twcny,akamai,156000,39.978741
twcny,akamai,157000,48.755065
twcny,akamai,158000,79.859623
twcny,akamai,159000,33.188563
twcny,akamai,160000,24.257585
twcny,akamai,161000,101.046961
twcny,akamai,162000,57.977896
twcny,akamai,163000,62.854983
twcny,akamai,164000,250.631811
twcny,akamai,165000,27.220001
twcny,akamai,166000,21.082872
twcny,akamai,167000,34.515940
twcny,akamai,168000,29.095575
twcny,akamai,169000,246.791965
twcny,akamai,170000,57.647687
twcny,akamai,171000,47.294783
twcny,akamai,172000,37.122105
twcny,akamai,173000,36.973857
twcny,akamai,174000,65.510010
twcny,akamai,175000,32.035183
twcny,akamai,176000,237.003221
twcny,akamai,177000,58.569992
twcny,akamai,179000,34.926821
twcny,akamai,180000,35.520867
twcny,akamai,181000,336.397634
twcny,akamai,182000,22.151635
twcny,akamai,183000,39.495371
twcny,akamai,184000,34.087357
twcny,akamai,185000,33.953841
twcny,akamai,186000,49.316861
twcny,akamai,187000,27.684748
twcny,akamai,188000,40.948969
twcny,akamai,189000,43.001623
twcny,akamai,190000,239.266737
twcny,akamai,191000,40.102739
twcny,akamai,192000,60.797001
twcny,akamai,193000,57.933450
twcny,akamai,195000,48.115870
twcny,akamai,196000,69.126306
twcny,akamai,197000,74.944568
twcny,akamai,198000,33.996133
twcny,akamai,199000,32.484180
twcny,akamai,200000,30.396586
twcny,akamai,201000,39.650530
twcny,akamai,202000,27.782402
twcny,akamai,203000,31.614894
twcny,akamai,204000,33.641992
twcny,akamai,205000,27.263995
twcny,akamai,206000,27.922392
twcny,akamai,207000,33.007434
twcny,akamai,208000,370.124238
twcny,akamai,209000,69.290007
twcny,akamai,210000,65.125679
twcny,akamai,211000,281.595001
twcny,akamai,212000,88.812309
twcny,akamai,213000,38.148868
twcny,akamai,214000,17.125000
twcny,akamai,215000,44.198909
twcny,akamai,216000,35.308946
twcny,akamai,217000,56.778621
twcny,akamai,218000,83.988476
twcny,akamai,219000,37.295459
twcny,akamai,220000,118.699423
twcny,akamai,221000,85.589032
twcny,akamai,222000,8.209991
twcny,akamai,223000,54.102765
twcny,akamai,224000,21.202174
twcny,akamai,225000,73.787005
twcny,akamai,226000,17.625701
twcny,akamai,227000,23.157148
twcny,akamai,228000,39.271408
twcny,akamai,229000,52.211168
