url_num,code,content-length,ms,hit/miss,cdn,isp
156,200,5424,56.7309856414795,HIT,akamai,twcny
157,200,5424,109.417915344238,MISS,akamai,twcny
157,200,5424,58.2699775695801,HIT,akamai,twcny
158,200,473052,496.844053268433,MISS,akamai,twcny
158,200,473052,485.605955123901,HIT,akamai,twcny
159,200,716281,676.447153091431,MISS,akamai,twcny
159,200,716281,613.301038742065,HIT,akamai,twcny
160,200,716281,672.668933868408,MISS,akamai,twcny
160,200,716281,641.756057739258,HIT,akamai,twcny
161,200,8292,160.870790481567,MISS,akamai,twcny
161,200,8292,79.8718929290771,HIT,akamai,twcny
162,200,12925,146.169900894165,MISS,akamai,twcny
162,200,12925,87.4660015106201,HIT,akamai,twcny
163,200,1016002,790.369033813477,MISS,akamai,twcny
163,200,1016002,767.497062683105,HIT,akamai,twcny
164,200,159936,371.928930282593,MISS,akamai,twcny
164,200,159936,295.670032501221,HIT,akamai,twcny
165,200,39219,226.984977722168,MISS,akamai,twcny
165,200,39219,169.106006622314,HIT,akamai,twcny
166,200,32148,221.463918685913,MISS,akamai,twcny
166,200,32148,144.706010818481,HIT,akamai,twcny
167,200,22229,210.293054580688,MISS,akamai,twcny
167,200,22229,106.903076171875,HIT,akamai,twcny
168,200,767,121.006965637207,MISS,akamai,twcny
168,200,767,52.6039600372314,HIT,akamai,twcny
169,200,4605,122.44701385498,MISS,akamai,twcny
169,200,4605,93.966007232666,HIT,akamai,twcny
170,200,28650,323.430776596069,MISS,akamai,twcny
170,200,28650,129.606962203979,HIT,akamai,twcny
171,200,19251,169.226169586182,MISS,akamai,twcny
171,200,19251,106.340885162354,HIT,akamai,twcny
172,200,7266,144.816160202026,MISS,akamai,twcny
172,200,7266,80.4958343505859,HIT,akamai,twcny
173,200,184116,332.653045654297,MISS,akamai,twcny
173,200,184116,343.564987182617,HIT,akamai,twcny
174,200,184116,287.955045700073,HIT,akamai,twcny
175,200,10230,150.714159011841,MISS,akamai,twcny
175,200,10230,79.230785369873,HIT,akamai,twcny
176,200,10230,80.031156539917,HIT,akamai,twcny
177,200,13224,174.787998199463,MISS,akamai,twcny
177,200,13224,85.9310626983643,HIT,akamai,twcny
178,200,13224,86.7857933044434,HIT,akamai,twcny
179,200,25814,198.914051055908,MISS,akamai,twcny
179,200,25814,115.699052810669,HIT,akamai,twcny
180,200,29513,203.794002532959,MISS,akamai,twcny
180,200,29513,137.837886810303,HIT,akamai,twcny
181,200,29332,216.866016387939,MISS,akamai,twcny
181,200,29332,131.263971328735,HIT,akamai,twcny
182,200,29332,129.224061965942,HIT,akamai,twcny
183,200,41855,204.55002784729,MISS,akamai,twcny
183,200,41855,165.961980819702,HIT,akamai,twcny
184,200,26295,205.883979797363,MISS,akamai,twcny
184,200,26295,133.666038513184,HIT,akamai,twcny
185,200,2810,117.386102676392,MISS,akamai,twcny
185,200,2810,52.9410839080811,HIT,akamai,twcny
186,200,2810,58.4051609039307,HIT,akamai,twcny
187,200,112720,274.82008934021,MISS,akamai,twcny
187,200,112720,248.670101165771,HIT,akamai,twcny
188,200,6699,449.579954147339,MISS,akamai,twcny
188,200,6699,79.6658992767334,HIT,akamai,twcny
189,200,6699,77.2500038146973,HIT,akamai,twcny
190,200,5135,111.387014389038,MISS,akamai,twcny
190,200,5135,59.3838691711426,HIT,akamai,twcny
191,200,5984,112.780094146729,MISS,akamai,twcny
191,200,5984,54.6460151672363,HIT,akamai,twcny
192,200,16257,244.163990020752,MISS,akamai,twcny
192,200,16257,103.13606262207,HIT,akamai,twcny
193,200,4858,114.531993865967,MISS,akamai,twcny
193,200,4858,53.555965423584,HIT,akamai,twcny
194,200,12156,153.732061386108,MISS,akamai,twcny
194,200,12156,81.7210674285889,HIT,akamai,twcny
195,200,10816,137.64214515686,MISS,akamai,twcny
195,200,10816,95.1929092407227,HIT,akamai,twcny
196,200,29642,185.219049453735,MISS,akamai,twcny
196,200,29642,127.754926681519,HIT,akamai,twcny
197,200,2937,107.715129852295,MISS,akamai,twcny
197,200,2937,991.66202545166,HIT,akamai,twcny
198,200,7306,138.878107070923,MISS,akamai,twcny
198,200,7306,79.8990726470947,HIT,akamai,twcny
199,200,2278,111.747026443481,MISS,akamai,twcny
199,200,2278,53.3120632171631,HIT,akamai,twcny
200,200,5377,121.859073638916,MISS,akamai,twcny
200,200,5377,56.9620132446289,HIT,akamai,twcny
201,200,5822,113.92617225647,MISS,akamai,twcny
201,200,5822,55.9291839599609,HIT,akamai,twcny
202,200,15173,145.228147506714,MISS,akamai,twcny
202,200,15173,108.715057373047,HIT,akamai,twcny
203,200,224391,391.972064971924,MISS,akamai,twcny
203,200,224391,357.861042022705,HIT,akamai,twcny
204,200,57032,231.845140457153,MISS,akamai,twcny
204,200,57032,171.098947525024,HIT,akamai,twcny
205,200,20394,184.447050094604,MISS,akamai,twcny
205,200,20394,114.059925079346,HIT,akamai,twcny
206,200,52219,213.170051574707,MISS,akamai,twcny
206,200,52219,191.025018692017,HIT,akamai,twcny
207,200,77288,268.829107284546,MISS,akamai,twcny
207,200,77288,217.149019241333,HIT,akamai,twcny
208,200,77288,296.633005142212,MISS,akamai,twcny
208,200,77288,229.454040527344,HIT,akamai,twcny
209,200,8032,139.976024627686,MISS,akamai,twcny
209,200,8032,79.9291133880615,HIT,akamai,twcny
210,200,8032,137.408018112183,MISS,akamai,twcny
210,200,8032,79.8549652099609,HIT,akamai,twcny
211,200,23087,191.681146621704,MISS,akamai,twcny
211,200,23087,113.568067550659,HIT,akamai,twcny
212,200,23087,187.134981155396,MISS,akamai,twcny
212,200,23087,105.95178604126,HIT,akamai,twcny
213,200,4870,122.067928314209,MISS,akamai,twcny
213,200,4870,55.4709434509277,HIT,akamai,twcny
214,200,382326,470.192909240723,MISS,akamai,twcny
214,200,382326,427.737951278687,HIT,akamai,twcny
215,200,579095,589.56503868103,MISS,akamai,twcny
215,200,579095,503.127813339233,HIT,akamai,twcny
216,200,579095,593.037128448486,MISS,akamai,twcny
216,200,579095,532.313108444214,HIT,akamai,twcny
217,200,7243,136.391162872314,MISS,akamai,twcny
217,200,7243,76.9279003143311,HIT,akamai,twcny
218,200,11256,126.332998275757,MISS,akamai,twcny
218,200,11256,82.6828479766846,HIT,akamai,twcny
219,200,131830,311.764001846313,MISS,akamai,twcny
219,200,131830,274.086952209473,HIT,akamai,twcny
220,200,33312,209.835052490234,MISS,akamai,twcny
220,200,33312,137.704849243164,HIT,akamai,twcny
221,200,27388,183.879852294922,MISS,akamai,twcny
221,200,27388,141.084909439087,HIT,akamai,twcny
222,200,19110,157.20796585083,MISS,akamai,twcny
222,200,19110,108.575105667114,HIT,akamai,twcny
223,200,607,106.404066085815,MISS,akamai,twcny
223,200,607,51.2750148773193,HIT,akamai,twcny
224,200,4285,102.515935897827,MISS,akamai,twcny
224,200,4285,74.7590065002441,HIT,akamai,twcny
225,200,24052,178.218841552734,MISS,akamai,twcny
225,200,24052,107.249021530151,HIT,akamai,twcny
226,200,16753,158.012866973877,MISS,akamai,twcny
226,200,16753,102.122068405151,HIT,akamai,twcny
227,200,6774,123.97313117981,MISS,akamai,twcny
227,200,6774,80.6708335876465,HIT,akamai,twcny
228,200,172568,347.579956054688,MISS,akamai,twcny
228,200,172568,293.180227279663,HIT,akamai,twcny
229,200,9716,166.208982467651,MISS,akamai,twcny
229,200,9716,79.9601078033447,HIT,akamai,twcny
230,200,12710,135.685205459595,MISS,akamai,twcny
230,200,12710,83.1880569458008,HIT,akamai,twcny
231,200,38900,194.719791412354,MISS,akamai,twcny
231,200,38900,160.704135894775,HIT,akamai,twcny
232,200,25120,175.524950027466,MISS,akamai,twcny
232,200,25120,113.496065139771,HIT,akamai,twcny
233,200,29054,780.351161956787,MISS,akamai,twcny
233,200,29054,129.36806678772,HIT,akamai,twcny
234,200,28166,163.36989402771,MISS,akamai,twcny
234,200,28166,142.212152481079,HIT,akamai,twcny
235,200,41436,285.408020019531,MISS,akamai,twcny
235,200,41436,167.189836502075,HIT,akamai,twcny
236,200,23872,177.86717414856,MISS,akamai,twcny
236,200,23872,111.742973327637,HIT,akamai,twcny
237,200,2600,105.180978775024,MISS,akamai,twcny
237,200,2600,52.5369644165039,HIT,akamai,twcny
238,200,113406,304.218053817749,MISS,akamai,twcny
238,200,113406,280.49111366272,HIT,akamai,twcny
239,200,6415,104.336977005005,MISS,akamai,twcny
239,200,6415,62.6440048217773,HIT,akamai,twcny
240,200,4632,102.707862854004,MISS,akamai,twcny
240,200,4632,60.3339672088623,HIT,akamai,twcny
241,200,5745,118.552923202515,MISS,akamai,twcny
241,200,5745,52.7470111846924,HIT,akamai,twcny
242,200,15779,160.639047622681,MISS,akamai,twcny
242,200,15779,105.858087539673,HIT,akamai,twcny
243,200,5105,101.777076721191,MISS,akamai,twcny
243,200,5105,54.3568134307861,HIT,akamai,twcny
244,200,13325,163.172006607056,MISS,akamai,twcny
244,200,13325,83.8339328765869,HIT,akamai,twcny
245,200,11711,126.166105270386,MISS,akamai,twcny
245,200,11711,86.3540172576904,HIT,akamai,twcny
246,200,32882,193.22681427002,MISS,akamai,twcny
246,200,32882,157.132148742676,HIT,akamai,twcny
247,200,3055,104.892015457153,MISS,akamai,twcny
247,200,3055,52.5858402252197,HIT,akamai,twcny
248,200,7737,130.307912826538,MISS,akamai,twcny
248,200,7737,95.7858562469482,HIT,akamai,twcny
249,200,2294,119.378089904785,MISS,akamai,twcny
249,200,2294,60.6811046600342,HIT,akamai,twcny
250,200,5616,130.429029464722,MISS,akamai,twcny
250,200,5616,54.7831058502197,HIT,akamai,twcny
251,200,4833,122.195959091187,MISS,akamai,twcny
251,200,4833,61.6769790649414,HIT,akamai,twcny
252,200,13437,147.355079650879,MISS,akamai,twcny
252,200,13437,86.3149166107178,HIT,akamai,twcny
253,200,225627,394.911050796509,MISS,akamai,twcny
253,200,225627,348.131895065308,HIT,akamai,twcny
254,200,56282,233.31880569458,MISS,akamai,twcny
254,200,56282,210.434913635254,HIT,akamai,twcny
255,200,19756,155.928134918213,MISS,akamai,twcny
255,200,19756,112.727880477905,HIT,akamai,twcny
256,200,52447,217.911005020142,MISS,akamai,twcny
256,200,52447,169.282913208008,HIT,akamai,twcny
257,200,52447,178.419828414917,HIT,akamai,twcny
258,200,77566,271.075010299683,MISS,akamai,twcny
258,200,77566,212.416172027588,HIT,akamai,twcny
259,200,77566,1137.05706596375,MISS,akamai,twcny
259,200,77566,221.961975097656,HIT,akamai,twcny
260,200,7653,127.187013626099,MISS,akamai,twcny
260,200,7653,73.7390518188477,HIT,akamai,twcny
261,200,7653,134.213924407959,MISS,akamai,twcny
261,200,7653,76.3430595397949,HIT,akamai,twcny
262,200,22647,166.35799407959,MISS,akamai,twcny
262,200,22647,131.083011627197,HIT,akamai,twcny
263,200,22647,368.189096450806,MISS,akamai,twcny
263,200,22647,131.443977355957,HIT,akamai,twcny
264,200,4523,92.689037322998,MISS,akamai,twcny
264,200,4523,55.9720993041992,HIT,akamai,twcny
265,200,4523,291.366100311279,MISS,akamai,twcny
265,200,4523,60.7399940490723,HIT,akamai,twcny
266,200,395566,471.601009368896,MISS,akamai,twcny
266,200,395566,444.926023483276,HIT,akamai,twcny
267,200,600991,671.697854995728,MISS,akamai,twcny
267,200,600991,612.218856811523,HIT,akamai,twcny
268,200,600991,573.26602935791,MISS,akamai,twcny
268,200,600991,565.598964691162,HIT,akamai,twcny
269,200,6827,126.955032348633,MISS,akamai,twcny
269,200,6827,76.617956161499,HIT,akamai,twcny
270,200,3528,100.656986236572,MISS,akamai,twcny
270,200,3528,59.5030784606934,HIT,akamai,twcny
271,200,844165,697.627067565918,MISS,akamai,twcny
271,200,844165,648.782014846802,HIT,akamai,twcny
272,200,132634,340.419054031372,MISS,akamai,twcny
272,200,132634,277.297973632812,HIT,akamai,twcny
273,200,32911,210.422992706299,MISS,akamai,twcny
273,200,32911,144.722938537598,HIT,akamai,twcny
274,200,26611,244.139194488525,MISS,akamai,twcny
274,200,26611,124.23300743103,HIT,akamai,twcny
275,200,18394,164.318084716797,MISS,akamai,twcny
275,200,18394,106.670141220093,HIT,akamai,twcny
276,200,1135,103.29008102417,MISS,akamai,twcny
276,200,1135,55.5069446563721,HIT,akamai,twcny
277,200,3963,100.821018218994,MISS,akamai,twcny
